Replicated at:  16/03/2015 16:02:10
Replicated at:  16/03/2015 19:39:51
Replicated at:  17/03/2015 08:41:24
Replicated at:  17/03/2015 13:22:01
Replicated at:  18/03/2015 17:50:14
Replicated at:  18/03/2015 18:00:18
Replicated at:  18/03/2015 18:01:13
Replicated at:  18/03/2015 18:02:12
Replicated at:  18/03/2015 18:03:13
Replicated at:  18/03/2015 18:04:12
Replicated at:  18/03/2015 18:05:12
Replicated at:  18/03/2015 21:01:37
Replicated at:  19/03/2015 12:00:00
Replicated at:  19/03/2015 15:00:00 - Failed
Replicated at:  19/03/2015 17:11:03
Replicated at:  19/03/2015 21:33:41
Replicated at:  20/03/2015 00:01:23
Replicated at:  20/03/2015 10:00:31
Replicated at:  20/03/2015 10:02:46
Replicated at:  20/03/2015 12:00:57
Replicated at:  20/03/2015 15:01:14
Replicated at:  20/03/2015 18:01:22
Replicated at:  20/03/2015 21:02:10
Replicated at:  21/03/2015 00:01:45
Replicated at:  21/03/2015 12:00:00
Replicated at:  21/03/2015 15:00:00
Replicated at:  21/03/2015 18:06:50
Replicated at:  21/03/2015 21:01:35
Replicated at:  21/03/2015 23:36:16
Replicated at:  22/03/2015 12:02:53
Replicated at:  22/03/2015 15:01:29
Replicated at:  22/03/2015 18:01:31
Replicated at:  22/03/2015 21:01:44
Replicated at:  23/03/2015 12:00:01
Replicated at:  23/03/2015 15:00:00
Replicated at:  23/03/2015 18:00:00
Replicated at:  24/03/2015 12:00:01
Replicated at:  24/03/2015 15:00:00
Replicated at:  24/03/2015 18:15:35
Replicated at:  24/03/2015 21:02:03
Replicated at:  25/03/2015 08:10:51
Replicated at:  25/03/2015 09:00:11
Replicated at:  25/03/2015 15:02:05
Replicated at:  25/03/2015 18:01:22
Replicated at:  25/03/2015 21:01:40
Replicated at:  25/03/2015 22:23:57
Replicated at:  26/03/2015 12:03:10
Replicated at:  26/03/2015 15:01:12
Replicated at:  26/03/2015 21:03:12
Replicated at:  27/03/2015 00:00:00
Replicated at:  27/03/2015 09:00:00
Replicated at:  27/03/2015 12:04:12
Replicated at:  27/03/2015 15:01:11
Replicated at:  27/03/2015 18:01:14
Replicated at:  27/03/2015 21:01:22
Replicated at:  28/03/2015 00:01:32
Replicated at:  28/03/2015 15:00:00
Replicated at:  28/03/2015 18:04:25
Replicated at:  28/03/2015 21:01:20
Replicated at:  29/03/2015 08:57:57
Replicated at:  29/03/2015 09:00:20
Replicated at:  29/03/2015 12:01:37
Replicated at:  29/03/2015 18:03:08
Replicated at:  29/03/2015 21:01:48
Replicated at:  30/03/2015 09:02:54
Replicated at:  30/03/2015 12:01:08
Replicated at:  30/03/2015 15:01:11
Replicated at:  30/03/2015 21:02:31
Replicated at:  31/03/2015 00:00:51
Replicated at:  31/03/2015 12:02:53
Replicated at:  31/03/2015 15:01:13
Replicated at:  31/03/2015 18:01:14
